"","Event","time","n.risk","n.event","n.censor","surv","std.err","lower","upper"
"1811","Diploid",82.7,1922,0,2,0.725879189678311,0.0107978006020853,0.710678605019016,0.741404897075722
"1812","Diploid",82.73333333,1920,1,0,0.725501127600354,0.0108103610745532,0.710290973701484,0.74103699137052
"1813","Diploid",82.79,1919,1,0,0.725123065522396,0.0108229200447132,0.709903363128781,0.74066906492062
"1814","Diploid",82.8,1918,0,1,0.725123065522396,0.0108229200447132,0.709903363128781,0.74066906492062
"1815","Diploid",82.96666667,1917,0,1,0.725123065522396,0.0108229200447132,0.709903363128781,0.74066906492062
"1816","Diploid",83,1916,1,0,0.724744608807614,0.0108355037595882,0.709515350452815,0.740300752704621
"1817","Diploid",83.1,1915,0,1,0.724744608807614,0.0108355037595882,0.709515350452815,0.740300752704621
"1818","Diploid",83.13333333,1914,1,0,0.724365954362051,0.0108480991505057,0.709127146685251,0.739932236823163
"1819","Diploid",83.2,1913,0,1,0.724365954362051,0.0108480991505057,0.709127146685251,0.739932236823163
"1820","Diploid",83.25,1912,1,0,0.72398710187546,0.0108607062592586,0.708738751504621,0.739563516978951
"1821","Diploid",83.28,1911,0,1,0.72398710187546,0.0108607062592586,0.708738751504621,0.739563516978951
"1822","Diploid",83.36666667,1910,2,0,0.723229000198104,0.010885942572918,0.707961598435447,0.738825648006164
"1823","Diploid",83.4,1908,1,1,0.722849949359425,0.0108985586204446,0.707573053005329,0.738456682415503
"1824","Diploid",83.53333333,1906,1,0,0.722470699648324,0.0109111865320391,0.707184315248396,0.738087512117687
"1825","Diploid",83.63333333,1905,1,0,0.722091449937223,0.0109238130874006,0.706795598179289,0.73771832113218
"1826","Diploid",83.66666667,1904,1,0,0.721712200226121,0.0109364383120774,0.706406901758845,0.737349109498145
"1827","Diploid",83.7,1903,0,1,0.721712200226121,0.0109364383120774,0.706406901758845,0.737349109498145
"1828","Diploid",83.8,1902,1,0,0.721332751119798,0.0109490755052247,0.706018012418527,0.736979692707346
"1829","Diploid",83.9,1901,1,0,0.720953302013475,0.010961711408909,0.705629143692321,0.736610255302569
"1830","Diploid",84.03,1900,0,1,0.720953302013475,0.010961711408909,0.705629143692321,0.736610255302569
"1831","Diploid",84.07,1899,0,1,0.720953302013475,0.010961711408909,0.705629143692321,0.736610255302569
"1832","Diploid",84.1,1898,0,1,0.720953302013475,0.010961711408909,0.705629143692321,0.736610255302569
"1833","Diploid",84.2,1897,2,0,0.720193203645512,0.0109870593825732,0.704850182913924,0.735870207811985
"1834","Diploid",84.23333333,1895,1,0,0.71981315446153,0.0109997314934828,0.704460733486121,0.735500153105505
"1835","Diploid",84.4,1894,1,0,0.719433105277548,0.0110124023877159,0.704071304647663,0.735130077809817
"1836","Diploid",84.5,1893,1,0,0.719053056093566,0.0110250720906354,0.703681896360085,0.734759981963386
"1837","Diploid",84.53,1892,1,0,0.718673006909585,0.011037740627532,0.7032925085851,0.734389865604501
"1838","Diploid",84.6,1891,0,1,0.718673006909585,0.011037740627532,0.7032925085851,0.734389865604501
"1839","Diploid",84.63333333,1890,0,1,0.718673006909585,0.011037740627532,0.7032925085851,0.734389865604501
"1840","Diploid",84.7,1889,0,2,0.718673006909585,0.011037740627532,0.7032925085851,0.734389865604501
"1841","Diploid",84.73333333,1887,1,0,0.71829215210995,0.0110504617677117,0.702902278888443,0.734018982835919
"1842","Diploid",84.83333333,1886,1,0,0.717911297310316,0.0110631817542792,0.702512069801932,0.73364807945733
"1843","Diploid",84.9,1885,1,0,0.717530442510682,0.0110759006126397,0.702121881287255,0.733277155507047
"1844","Diploid",85,1884,1,0,0.717149587711048,0.0110886183681269,0.701731713306274,0.732906211023209
"1845","Diploid",85.03333333,1883,1,0,0.716768732911414,0.0111013350460039,0.701341565821026,0.732535246043778
